,Key,Values
732,C0302858,732
733,C0002895,733
734,C0016053,734
735,C0149871,735
736,C0021311,736
737,C0264558,737
738,C0233472,738
739,C0001175,739
740,C0018099,740
741,C0034065,741
742,C0032326,742
743,C0009324,743
744,C0520764,744
745,C0006285,745
746,C0043121,746
747,C0034072,747
748,C0001418,748
749,C0149514,749
750,C0451641,750
751,C0017155,751
752,C0221757,752
753,C0023467,753
754,C0014752,754
755,C0017658,755
756,C0021670,756
757,C0007194,757
758,C0018081,758
759,C0857946,759
760,C0026764,760
761,C0013481,761
762,C0004238,762
763,C0039232,763
764,C0026691,764
765,C0010674,765
766,C0206695,766
767,C0041296,767
768,C0029291,768
769,C0013080,769
770,C3495928,770
771,C0006277,771
772,C0020473,772
773,C0025289,773
774,C0553720,774
775,C1527311,775
776,C0006107,776
777,C0026896,777
778,C0852437,778
779,C0005001,779
780,C0235950,780
781,C1258104,781
782,C0020542,782
783,C0162566,783
784,C0032461,784
785,C0024586,785
786,C0030436,786
787,C0008373,787
788,C0024473,788
789,C1704436,789
790,C0400821,790
791,C0024530,791
792,C0035436,792
793,C3888977,793
794,C0019291,794
795,C0149801,795
796,C0035235,796
797,C0017152,797
798,C0024713,798
799,C0029925,799
800,C0022972,800
801,C0600139,801
802,C0010068,802
803,C0038531,803
804,C0087031,804
805,C0020651,805
806,C0162557,806
807,C0152018,807
808,C0043167,808
809,C0025281,809
810,C0235295,810
811,C0014038,811
812,C1306571,812
813,C0086768,813
814,C0006271,814
815,C0042974,815
816,C0302592,816
817,C0008049,817
818,C0007196,818
819,C0026936,819
820,C0011127,820
821,C0035222,821
822,C0042171,822
823,C0021345,823
824,C0949690,824
825,C0040127,825
826,C0021807,826
827,C0042842,827
828,C0035012,828
829,C0948968,829
